"user","session","task","iteration","UD_qu","UD_u!","UD_!f","UD_fa","UD_aB","UD_B8","UD_8*","UD_*e","UD_en","standard_deviation","kurtosis","skewness"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","11","-83","204","2","-95","92","515","720","134","-58","267.3769706695856","2.7295338092211106","1.0277235163029093"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","0","-90","182","5","-129","273","35","276","171","71","139.06575405403476","1.730437532470128","-0.09589012398892258"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","1","-69","161","41","104","515","925","605","-6184","-6278","2742.0690259747066","2.744019607219535","-1.2940315320824678"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","2","-73","175","27","-93","317","40","277","141","64","134.60128592565343","1.896665588038605","0.20935628801914302"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","3","-76","172","134","124","400","47","499","-10177","-11295","4551.142469510021","2.8323322542830556","-1.3437353456543994"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","4","-57","579","111","-87","229","61","239","-7915","-8773","3543.371457235414","2.82553127675477","-1.3381117092859642"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","5","-74","196","5","-83","204","59","335","-5763","-6463","2588.0230741047817","2.838579395743442","-1.3419562150633246"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","6","-101","166","119","-88","501","70","256","-10287","-10673","4415.972976970458","2.786637966855463","-1.3324698474478844"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","7","-90","180","191","-87","319","77","235","184","-70","144.62672259609872","1.583476155563554","-0.21851209809253447"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","1","8","-85","141","5","-108","282","69","222","-7733","-8089","3323.438183271158","2.790391568643091","-1.33378009724021"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","0","-72","234","8","-97","296","46","231","-8190","-8409","3491.6138933517427","2.7837227477010096","-1.3320640146046308"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","1","-73","201","114","-89","209","78","251","-8792","-8978","3736.797678345576","2.7843989645645832","-1.3336233505659514"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","2","-80","154","5","-97","333","34","276","224","100","144.48384078129146","1.7135633517392193","0.09109355237440629"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","3","-89","158","15","144","429","630","302","-9950","-10410","4332.647920152294","2.787119247943893","-1.3307245114277142"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","4","89","215","14","-80","589","49","240","-9514","-10186","4168.193865304904","2.8009905711112353","-1.3347332766357878"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","5","88","779","19","-98","413","56","314","-7654","-7733","3301.022752099195","2.7657775238818005","-1.3160403060656702"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","1","6","98","439","10","-89","616","32","218","119","638","253.5046691561136","1.778941895362081","0.5312752824645126"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","0","87","872","296","74","469","264","833","209","-141","321.91571629086667","2.1560691581296414","0.5117029423083518"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","1","131","198","207","-70","668","271","6090","294","122","1851.708820402267","6.988791977702509","2.427985485439497"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","2","-138","280","240","100","680","270","357","212","140","206.29452755409056","3.609051186401235","0.39899577723655155"
