"user","session","task","iteration","digraph_qu","digraph_u!","digraph_!f","digraph_fa","digraph_aB","digraph_B8","digraph_8*","digraph_*e","digraph_en","mean","standard_deviation","kurtosis","skewness"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","1","491","960","728","375","568","7207","10658","1085","376","2494.222222222222","3543.6645746012628","3.5403286165354197","1.504722684378459"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","2","298","561","868","564","711","826","702","543","376","605.4444444444445","180.37129059009308","2.0005613795079866","-0.20141212689799437"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","3","1158","518","566","322","382","7331","6661","1065","269","2030.2222222222222","2675.0306240314653","2.79083553790237","1.3069594937270723"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","4","537","618","610","350","340","1897","571","659","269","650.1111111111111","460.4327540343479","6.071490136040837","2.0766460270130427"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","5","532","668","640","345","660","676","702","424","2146","754.7777777777778","505.65024754221787","6.440178228093829","2.2112942822473136"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","6","500","797","734","415","510","845","1857","1189","267","790.4444444444445","457.1107600063471","3.6328383076722544","1.2024392522393115"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","7","16571","1346","570","331","925","1230","1350","590","259","2574.6666666666665","4964.20798203388","7.039727171563344","2.4447003512349563"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","8","454","711","729","469","583","1098","936","641","1550","796.7777777777778","330.7089280042624","3.3309659527713325","1.128593968170269"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","9","450","665","661","334","782","616","721","742","298","585.4444444444445","169.53669619886043","1.8378755375153981","-0.6212755856544073"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","10","450","665","661","334","782","616","721","742","298","585.4444444444445","169.53669619886043","1.8378755375153981","-0.6212755856544073"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","0","2588","1661","1422","1481","1566","1145","3549","1508","1114","1781.5555555555557","743.9003982181591","3.837638435070322","1.453292563371425"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","1","2434","1411","1544","1088","1125","932","2346","1168","864","1434.6666666666667","548.4550016992176","2.315798389507703","0.9112453225702067"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","2","2161","1213","1383","868","1126","707","2151","1132","422","1240.3333333333333","559.3245927008753","2.2200808794205704","0.49808100411753214"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","3","2220","924","807","608","1032","776","1840","610","505","1035.7777777777778","560.5050852733488","2.857318289994598","1.1641529674944646"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","4","1755","821","840","713","1112","910","1632","1172","1192","1127.4444444444443","341.6255621164172","2.180604074806377","0.6742780180855228"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","5","1713","891","1029","1345","1537","664","771","761","606","1035.2222222222222","379.32887454256417","1.8650205143366128","0.6007789102920064"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","6","2123","893","700","568","1187","1224","4497","963","814","1441","1161.8468057364535","5.403819910060146","1.929720938632315"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","7","1874","1061","681","533","1151","602","897","565","418","864.6666666666666","427.1838011910096","3.7100347286436977","1.2578644467141098"
